Row,Type,Size,Charge,Mass,m/z,RT
P_Cluster_1819,2D PEAK CLUSTER,2,1,319.287755707,320.295032174,5.58926539555
P_Cluster_1820,2D PEAK CLUSTER,2,1,320.089785380,321.097061847,4.70845080339
P_Cluster_1821,2D PEAK CLUSTER,2,1,320.110702525,321.117978991,3.00120405287
P_Cluster_1822,2D PEAK CLUSTER,2,1,320.110919137,321.118195604,3.09651521427
P_Cluster_1823,2D PEAK CLUSTER,2,1,320.148775708,321.156052175,3.70501872603
P_Cluster_1824,2D PEAK CLUSTER,2,1,320.137109450,321.144385917,4.52538597383
P_Cluster_1825,2D PEAK CLUSTER,2,1,320.159518862,321.166795328,6.93537129929
P_Cluster_1826,2D PEAK CLUSTER,2,1,320.159569662,321.166846129,7.07417196303
P_Cluster_1827,2D PEAK CLUSTER,2,1,320.184892120,321.192168586,4.11824597442
P_Cluster_1828,2D PEAK CLUSTER,2,1,320.232696057,321.239972523,10.7390566583
P_Cluster_1829,2D PEAK CLUSTER,2,1,320.232799745,321.240076212,9.89300354341
P_Cluster_1830,2D PEAK CLUSTER,2,1,321.113870309,322.121146776,3.21570889903
P_Cluster_1831,2D PEAK CLUSTER,2,1,321.194222677,322.201499144,7.61051905175
